,player,team,overs,maidens,runs,wickets,bpo,balls,economy,pos,innings,opposition,ground,start_date,player_id,match_id
0,DR Tuffey,New Zealand,4.0,0,50,1,6,24,12.5,1,1,Australia,Auckland,2005-02-17,p38620,m211048
1,KD Mills,New Zealand,4.0,0,44,3,6,24,11.0,2,1,Australia,Auckland,2005-02-17,p37740,m211048
2,CL Cairns,New Zealand,4.0,0,28,1,6,24,7.0,3,1,Australia,Auckland,2005-02-17,p36597,m211048
3,JW Wilson,New Zealand,4.0,0,43,0,6,24,10.75,4,1,Australia,Auckland,2005-02-17,p38751,m211048
4,AR Adams,New Zealand,4.0,0,40,0,6,24,10.0,5,1,Australia,Auckland,2005-02-17,p36192,m211048
