,player,team,overs,maidens,runs,wickets,bpo,balls,economy,pos,innings,opposition,ground,start_date
0,GD McKenzie,Australia,7.4,0,22,2,8,60,2.2,1,1,England,Melbourne,1971-01-05
1,AL Thomson,Australia,8.0,2,22,1,8,64,2.06,2,1,England,Melbourne,1971-01-05
2,AN Connolly,Australia,8.0,0,62,0,8,64,5.81,3,1,England,Melbourne,1971-01-05
3,AA Mallett,Australia,8.0,1,34,3,8,64,3.18,4,1,England,Melbourne,1971-01-05
4,KR Stackpole,Australia,8.0,0,40,3,8,64,3.75,5,1,England,Melbourne,1971-01-05
