,player,team,runs,runs_txt,not_out,mins,bf,4s,6s,sr,pos,innings,opposition,ground,start_date,player_id,match_id
0,G Boycott,England,8.0,8,False,34,37,0,0,21.62,1,1,Australia,Melbourne,1971-01-05,p9187,m64148
1,JH Edrich,England,82.0,82,False,150,119,4,0,68.9,2,1,Australia,Melbourne,1971-01-05,p12490,m64148
2,KWR Fletcher,England,24.0,24,False,60,47,1,0,51.06,3,1,Australia,Melbourne,1971-01-05,p12854,m64148
3,BL D'Oliveira,England,17.0,17,False,20,16,1,0,106.25,4,1,Australia,Melbourne,1971-01-05,p11914,m64148
4,JH Hampshire,England,10.0,10,False,13,13,0,0,76.92,5,1,Australia,Melbourne,1971-01-05,p14024,m64148
