,player,team,runs,runs_txt,not_out,mins,bf,4s,6s,sr,pos,innings,opposition,ground,start_date,player_id,match_id
0,S Goatman,Young England,4.0,4,False,23,,,,,1,1,Australia,Bournemouth,1973-06-23,p53769,m66864
1,S Ellis,Young England,4.0,4,False,27,,,,,2,1,Australia,Bournemouth,1973-06-23,p53766,m66864
2,MA Lear,Young England,9.0,9,False,34,,1,,,3,1,Australia,Bournemouth,1973-06-23,p53795,m66864
3,JM Court,Young England,0.0,0,False,4,,,,,4,1,Australia,Bournemouth,1973-06-23,p53752,m66864
4,M Wilks,Young England,9.0,9,False,37,,1,,,5,1,Australia,Bournemouth,1973-06-23,p53875,m66864
